,EPO127.mgat1.,EPO174.mgat2.,EPO266.fut8.,st3gal4.st3gal6.mgat4a.mgat4b.mgat5,KI_ST6GalNAc1.st3gal4.st3gal6.mgat4a.mgat4b.mgat5,mgat4A.mgat4B.mgat5,B3gnt2.mgat4a.mgat4b.mgat5,st3gal4.st3gal6,B4GalT1,B4GalT2,B4GalT3,WT,B4GalT4,EPO78.mgat4B.,mgat4A.mgat4B,mgat5
77,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,0.9999999999999999,1.0
84,0.4817187725805675,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,0.9999999999999999,1.0
92,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,0.0,1.0,1.0,0.9895156873484078,0.9856074766355141,1.0,0.9863818424566089,1.0,0.4054671477895174,1.0,1.0000000000000002,1.0,1.0,1.0,0.9999999999999999,1.0
115,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,0.9999999999999999,1.0
120,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,0.9999999999999999,1.0
136,0.9482634038248472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,0.0,0.0,1.0,0.9895156873484078,0.9856074766355141,1.0,0.9863818424566089,1.0,0.4054671477895174,1.0,1.0000000000000002,1.0,1.0,1.0,0.9999999999999999,1.0
167,0.0,1.0,0.0,0.9895156873484078,0.9856074766355141,1.0,0.9863818424566089,1.0,0.4054671477895174,1.0,1.0000000000000002,1.0,1.0,1.0,0.9999999999999999,1.0
168,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,0.9999999999999999,1.0
173,0.0,0.48765107724645296,0.09562739284377789,0.15867303027932084,0.0,0.022814237239188507,0.0,0.28466796875000006,0.01186365878352068,0.04774242970439797,0.08631595387458678,0.05687670154492079,0.05370298565335402,0.5408328826392645,0.06602867409014905,0.01109963861641714
184,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9426676432291667,0.7963967705926639,0.8196196827685651,0.8785693833459147,0.8934955882835307,0.9355370298565335,0.9152514872904274,0.9747411860969796,0.6678368611254518
202,0.4817187725805675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,0.0,0.9686459975477316,0.9188807967989867,0.0,0.0,0.0,0.0,0.907958984375,0.2951117572233327,0.8196196827685651,0.8785693833459147,0.8934955882835307,0.9355370298565335,0.9152514872904274,0.9747411860969796,0.6678368611254518
214,0.0,0.0,1.0,0.0,0.9856074766355141,0.9734315211898058,0.9522696929238985,0.0,0.3465901715947146,0.9847242249459263,1.0000000000000002,0.9835667661626268,1.0,1.0,0.9221601622256217,0.9683531233866804
216,0.0,0.0,1.0,0.9410844221891871,0.955607476635514,1.0,0.9863818424566089,0.9886474609375,0.20876924275070743,1.0,1.0000000000000002,1.0,1.0,1.0,0.9999999999999999,1.0
227,0.0,0.0,0.5952387806212038,0.0,0.0,0.0,0.0,0.7407633463541666,0.4857090937410764,0.5521359048305694,0.6448707603404743,0.802177977498606,0.7520356727413726,0.0,0.0,0.0
231,0.0,0.48765107724645296,0.0,0.15867303027932084,0.0,0.022814237239188507,0.0,0.28466796875000006,0.01186365878352068,0.04774242970439797,0.08631595387458678,0.05687670154492079,0.05370298565335402,0.5408328826392645,0.06602867409014905,0.01109963861641714
232,0.0,0.0,0.0,0.9895156873484078,0.9856074766355141,1.0,0.9863818424566089,1.0,0.4054671477895174,1.0,1.0000000000000002,1.0,1.0,1.0,0.9999999999999999,1.0
237,0.0,0.48765107724645296,0.09562739284377789,0.15867303027932084,0.0,0.022814237239188507,0.0,0.27062988281250006,0.01186365878352068,0.04774242970439797,0.08631595387458678,0.05687670154492079,0.05370298565335402,0.5408328826392645,0.06602867409014905,0.01109963861641714
256,0.0,1.0,0.0,0.0,0.9856074766355141,0.9734315211898058,0.9522696929238985,0.0,0.3465901715947146,0.9847242249459263,1.0000000000000002,0.9835667661626268,1.0,1.0,0.9221601622256217,0.9683531233866804
288,0.0,0.0,1.0,0.0,0.955607476635514,0.9734315211898058,0.9522696929238985,0.0,0.20876924275070743,0.9847242249459263,1.0000000000000002,0.9835667661626268,1.0,1.0,0.9221601622256217,0.9683531233866804
302,0.0,0.0,0.9188807967989867,0.0,0.0,0.0,0.0,0.9426676432291667,0.20876924275070743,0.8196196827685651,0.8785693833459147,0.8934955882835307,0.9355370298565335,0.9152514872904274,0.9747411860969796,0.6678368611254518
303,0.0,0.0,0.9188807967989867,0.0,0.0,0.0,0.0,0.0,0.3465901715947146,0.8196196827685651,0.8785693833459147,0.8934955882835307,0.9355370298565335,0.9152514872904274,0.4217866163862108,0.6678368611254518
314,0.0,0.48765107724645296,0.0,0.15867303027932084,0.0,0.022814237239188507,0.0,0.27062988281250006,0.01186365878352068,0.04774242970439797,0.08631595387458678,0.05687670154492079,0.05370298565335402,0.5408328826392645,0.06602867409014905,0.01109963861641714
316,0.0,0.0,0.0,0.9410844221891871,0.955607476635514,1.0,0.9863818424566089,0.9886474609375,0.20876924275070743,1.0,1.0000000000000002,1.0,1.0,1.0,0.9999999999999999,1.0
322,0.0,0.0,0.09562739284377789,0.15867303027932084,0.0,0.022814237239188507,0.0,0.28466796875000006,0.01186365878352068,0.04774242970439797,0.08631595387458678,0.05687670154492079,0.05370298565335402,0.5408328826392645,0.06602867409014905,0.01109963861641714
328,0.0,0.9686459975477316,0.0,0.0,0.0,0.0,0.0,0.907958984375,0.2951117572233327,0.8196196827685651,0.8785693833459147,0.8934955882835307,0.9355370298565335,0.9152514872904274,0.9747411860969796,0.6678368611254518
332,0.0,0.48765107724645296,0.09562739284377789,0.0,0.0,0.0,0.0,0.28466796875000006,0.01186365878352068,0.04774242970439797,0.08631595387458678,0.05687670154492079,0.05370298565335402,0.5408328826392645,0.06602867409014905,0.01109963861641714
341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7407633463541666,0.4857090937410764,0.5521359048305694,0.6448707603404743,0.802177977498606,0.7520356727413726,0.0,0.0,0.0
343,0.0,0.0,0.0,0.0,0.9856074766355141,0.9734315211898058,0.9522696929238985,0.0,0.3465901715947146,0.9847242249459263,1.0000000000000002,0.9835667661626268,1.0,1.0,0.9221601622256217,0.9683531233866804
344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3465901715947146,0.8196196827685651,0.8785693833459147,0.8934955882835307,0.9355370298565335,0.8447268793942673,0.9221601622256217,0.6678368611254518
351,0.0,0.48765107724645296,0.07602406517170904,0.0,0.0,0.022814237239188507,0.0,0.0,0.01186365878352068,0.046300468637346784,0.08303615586849572,0.04952930757371995,0.048468398604110126,0.5408328826392645,0.05973175851150876,0.01109963861641714
400,0.0,0.0,1.0,0.0,0.9345794392523364,0.7219695328857122,0.6675567423230975,0.0,0.20876924275070743,0.7917042177361211,0.7956633781919464,0.7706563453275167,1.0,0.92947539210384,0.4217866163862108,0.8998451213216314
403,0.0,0.2744788929760028,0.8349981289041135,0.0,0.0,0.0,0.0,0.0,0.2563017574829314,0.6609589041095889,0.6957336595777911,0.802177977498606,0.9037902287708415,0.1533261222282315,0.6950087160695861,0.5162622612287042
414,0.0,0.0,0.9188807967989867,0.0,0.0,0.0,0.0,0.907958984375,0.20876924275070743,0.8196196827685651,0.8785693833459147,0.8934955882835307,0.9355370298565335,0.9152514872904274,0.9747411860969796,0.6678368611254518
416,0.0,0.0,0.5952387806212038,0.0,0.0,0.0,0.0,0.0,0.29550115521403914,0.5521359048305694,0.6448707603404743,0.802177977498606,0.7520356727413726,0.0,0.0,0.0
426,0.0,0.0,0.0,0.15867303027932084,0.0,0.022814237239188507,0.0,0.28466796875000006,0.01186365878352068,0.04774242970439797,0.08631595387458678,0.05687670154492079,0.05370298565335402,0.5408328826392645,0.06602867409014905,0.01109963861641714
430,0.0,0.0,0.09562739284377789,0.15867303027932084,0.0,0.022814237239188507,0.0,0.27062988281250006,0.01186365878352068,0.04774242970439797,0.08631595387458678,0.05687670154492079,0.05370298565335402,0.5408328826392645,0.06602867409014905,0.01109963861641714
439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9426676432291667,0.20876924275070743,0.8196196827685651,0.8785693833459147,0.8934955882835307,0.9355370298565335,0.9152514872904274,0.9747411860969796,0.6678368611254518
440,0.0,0.48765107724645296,0.0,0.0,0.0,0.0,0.0,0.28466796875000006,0.01186365878352068,0.04774242970439797,0.08631595387458678,0.05687670154492079,0.05370298565335402,0.5408328826392645,0.06602867409014905,0.01109963861641714
447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7407633463541666,0.3543781314088419,0.5521359048305694,0.6448707603404743,0.802177977498606,0.7520356727413726,0.0,0.0,0.0
450,0.0,0.0,0.0,0.0,0.955607476635514,0.9734315211898058,0.9522696929238985,0.0,0.20876924275070743,0.9847242249459263,1.0000000000000002,0.9835667661626268,1.0,1.0,0.9221601622256217,0.9683531233866804
451,0.0,0.9686459975477316,0.0,0.0,0.0,0.0,0.0,0.0,0.2951117572233327,0.8196196827685651,0.8785693833459147,0.8934955882835307,0.9355370298565335,0.8447268793942673,0.9221601622256217,0.6678368611254518
452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3465901715947146,0.8196196827685651,0.8785693833459147,0.8934955882835307,0.9355370298565335,0.8447268793942673,0.9221601622256217,0.6678368611254518
454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3465901715947146,0.8196196827685651,0.8785693833459147,0.8934955882835307,0.9355370298565335,0.9152514872904274,0.4217866163862108,0.6678368611254518
487,0.0,0.48765107724645296,0.09562739284377789,0.0,0.0,0.0,0.0,0.27062988281250006,0.01186365878352068,0.04774242970439797,0.08631595387458678,0.05687670154492079,0.05370298565335402,0.5408328826392645,0.06602867409014905,0.01109963861641714
500,0.0,0.48765107724645296,0.0,0.0,0.0,0.022814237239188507,0.0,0.0,0.01186365878352068,0.046300468637346784,0.08303615586849572,0.04952930757371995,0.048468398604110126,0.5408328826392645,0.05973175851150876,0.01109963861641714
563,0.0,0.0,0.0,0.15867303027932084,0.0,0.022814237239188507,0.0,0.27062988281250006,0.01186365878352068,0.04774242970439797,0.08631595387458678,0.05687670154492079,0.05370298565335402,0.5408328826392645,0.06602867409014905,0.01109963861641714
571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.907958984375,0.20876924275070743,0.8196196827685651,0.8785693833459147,0.8934955882835307,0.9355370298565335,0.9152514872904274,0.9747411860969796,0.6678368611254518
575,0.0,0.0,0.09562739284377789,0.0,0.0,0.0,0.0,0.28466796875000006,0.01186365878352068,0.04774242970439797,0.08631595387458678,0.05687670154492079,0.05370298565335402,0.5408328826392645,0.06602867409014905,0.01109963861641714
577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7407633463541666,0.2440227408426573,0.5521359048305694,0.6448707603404743,0.802177977498606,0.7520356727413726,0.0,0.0,0.0
586,0.0,0.0,0.0,0.0,0.9345794392523364,0.7219695328857122,0.6675567423230975,0.0,0.20876924275070743,0.7917042177361211,0.7956633781919464,0.7706563453275167,1.0,0.92947539210384,0.4217866163862108,0.8998451213216314
588,0.0,0.2744788929760028,0.0,0.0,0.0,0.0,0.0,0.0,0.2563017574829314,0.6609589041095889,0.6957336595777911,0.802177977498606,0.9037902287708415,0.1533261222282315,0.6950087160695861,0.5162622612287042
589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29550115521403914,0.5521359048305694,0.6448707603404743,0.802177977498606,0.7520356727413726,0.0,0.0,0.0
599,0.0,0.0,0.09562739284377789,0.0,0.0,0.022814237239188507,0.0,0.0,0.01186365878352068,0.04774242970439797,0.08631595387458678,0.05687670154492079,0.05370298565335402,0.5408328826392645,0.06602867409014905,0.01109963861641714
606,0.0,0.48765107724645296,0.09562739284377789,0.0,0.0,0.0,0.0,0.0,0.01186365878352068,0.04774242970439797,0.08631595387458678,0.05687670154492079,0.05370298565335402,0.5408328826392645,0.06602867409014905,0.01109963861641714
641,0.0,0.48765107724645296,0.0,0.0,0.0,0.0,0.0,0.27062988281250006,0.01186365878352068,0.04774242970439797,0.08631595387458678,0.05687670154492079,0.05370298565335402,0.5408328826392645,0.06602867409014905,0.01109963861641714
724,0.0,0.0,0.5952387806212038,0.0,0.0,0.0,0.0,0.0,0.20521274110225593,0.5192411679884642,0.5833615326548143,0.802177977498606,0.7520356727413726,0.0,0.0,0.0
726,0.0,0.0,0.5952387806212038,0.0,0.0,0.0,0.0,0.6915690104166666,0.11635211962306276,0.5521359048305694,0.6448707603404743,0.802177977498606,0.7520356727413726,0.0,0.0,0.0
